airport,airport_alert_id,start_time,end_time,n_lightnings,nb_cloud_ground,nb_intra_cloud,max_distance,mean_amplitude,start_month,start_hour,duration_min
Ajaccio,1.0,2016-01-02 21:22:53+00:00,2016-01-02 21:28:54+00:00,5,5,0,17.561774469823227,-10.888,1,21,6.016666666666667
Ajaccio,2.0,2016-01-12 06:37:45+00:00,2016-01-12 06:37:45+00:00,1,1,0,12.875968271727636,-13.74,1,6,0.0
Ajaccio,3.0,2016-01-12 07:25:37+00:00,2016-01-12 07:25:37+00:00,1,1,0,6.347720373461618,-25.34,1,7,0.0
Ajaccio,4.0,2016-02-07 14:05:14+00:00,2016-02-07 14:05:14+00:00,1,1,0,3.0333816214079987,-24.81,2,14,0.0
Ajaccio,5.0,2016-02-07 14:35:39+00:00,2016-02-07 14:35:39+00:00,1,1,0,17.92717623301275,-11.78,2,14,0.0
Ajaccio,6.0,2016-02-25 14:10:03+00:00,2016-02-25 15:02:18+00:00,28,28,0,17.825198187431933,-25.477857142857143,2,14,52.25
Ajaccio,7.0,2016-02-27 17:26:37+00:00,2016-02-27 17:26:37+00:00,2,2,0,17.659939241177135,-47.76,2,17,0.0
Ajaccio,8.0,2016-03-05 11:53:10+00:00,2016-03-05 12:32:56+00:00,27,27,0,19.30106236016533,-19.392222222222223,3,11,39.766666666666666
Ajaccio,9.0,2016-03-06 06:05:50+00:00,2016-03-06 06:19:14+00:00,6,6,0,17.73625094259244,-73.03333333333333,3,6,13.4
Ajaccio,10.0,2016-03-17 13:33:09+00:00,2016-03-17 13:33:09+00:00,1,1,0,15.29292996438877,62.11,3,13,0.0
Ajaccio,11.0,2016-03-23 16:15:24+00:00,2016-03-23 16:43:41+00:00,2,2,0,19.597075127698727,-4.369999999999999,3,16,28.283333333333335
Ajaccio,12.0,2016-05-10 23:10:09+00:00,2016-05-10 23:44:58+00:00,11,11,0,18.42401854531201,5.864545454545453,5,23,34.81666666666667
Ajaccio,13.0,2016-05-12 02:31:21+00:00,2016-05-12 02:41:37+00:00,2,2,0,7.396965264511559,-56.835,5,2,10.266666666666667
Ajaccio,14.0,2016-05-12 03:40:47+00:00,2016-05-12 04:05:52+00:00,6,6,0,17.641541645249635,-84.17666666666666,5,3,25.083333333333332
Ajaccio,15.0,2016-05-29 02:56:25+00:00,2016-05-29 02:59:09+00:00,2,2,0,19.36085947760688,0.34000000000000163,5,2,2.7333333333333334
Ajaccio,16.0,2016-05-29 08:05:14+00:00,2016-05-29 08:11:26+00:00,3,3,0,16.03836992031866,-8.216666666666667,5,8,6.2
Ajaccio,17.0,2016-06-07 13:02:11+00:00,2016-06-07 13:30:33+00:00,2,2,0,19.34510301667041,-47.825,6,13,28.366666666666667
Ajaccio,18.0,2016-06-09 12:57:17+00:00,2016-06-09 12:57:17+00:00,1,1,0,18.9216730475745,-18.8,6,12,0.0
Ajaccio,19.0,2016-06-19 11:46:40+00:00,2016-06-19 12:54:18+00:00,33,33,0,19.96725896243789,-19.422121212121215,6,11,67.63333333333334
Ajaccio,20.0,2016-07-15 11:27:17+00:00,2016-07-15 11:30:44+00:00,2,2,0,19.11370479687951,-17.03,7,11,3.45
Ajaccio,21.0,2016-07-23 05:36:07+00:00,2016-07-23 05:42:07+00:00,2,2,0,18.967294870048548,-36.635,7,5,6.0
Ajaccio,22.0,2016-07-24 10:39:08+00:00,2016-07-24 12:29:20+00:00,122,122,0,19.91498072084219,-15.713442622950819,7,10,110.2
Ajaccio,23.0,2016-08-11 13:40:22+00:00,2016-08-11 14:31:54+00:00,3,3,0,19.767813968621923,-52.79,8,13,51.53333333333333
Ajaccio,24.0,2016-08-30 12:59:22+00:00,2016-08-30 13:22:33+00:00,2,2,0,19.76932465944694,5.340000000000001,8,12,23.183333333333334
Ajaccio,25.0,2016-08-30 14:03:14+00:00,2016-08-30 14:07:52+00:00,3,3,0,16.19997507413504,-46.36666666666667,8,14,4.633333333333334
Ajaccio,26.0,2016-08-31 11:37:17+00:00,2016-08-31 12:10:33+00:00,15,15,0,19.573829503851425,-19.486,8,11,33.266666666666666
Ajaccio,27.0,2016-08-31 13:26:13+00:00,2016-08-31 13:36:52+00:00,5,5,0,14.543376922535876,-20.048,8,13,10.65
Ajaccio,28.0,2016-09-06 22:17:38+00:00,2016-09-06 23:01:16+00:00,36,36,0,19.75561177914477,-11.231944444444444,9,22,43.63333333333333
Ajaccio,29.0,2016-09-10 13:28:00+00:00,2016-09-10 13:28:00+00:00,1,1,0,13.208336021610595,-2.84,9,13,0.0
Ajaccio,30.0,2016-09-10 14:32:50+00:00,2016-09-10 15:57:13+00:00,38,38,0,19.6539839206101,-16.54736842105263,9,14,84.38333333333334
Ajaccio,31.0,2016-09-11 12:15:02+00:00,2016-09-11 15:23:58+00:00,98,98,0,19.979765634543234,-13.01295918367347,9,12,188.93333333333334
Ajaccio,32.0,2016-09-13 12:37:01+00:00,2016-09-13 14:09:27+00:00,36,36,0,19.467959482177896,-18.99,9,12,92.43333333333334
Ajaccio,33.0,2016-09-16 04:30:14+00:00,2016-09-16 04:48:38+00:00,4,4,0,19.72897701647874,-24.07,9,4,18.4
Ajaccio,34.0,2016-09-16 05:21:50+00:00,2016-09-16 05:31:27+00:00,4,4,0,19.32459184765288,-13.3075,9,5,9.616666666666667
Ajaccio,35.0,2016-09-16 06:02:00+00:00,2016-09-16 06:29:49+00:00,10,10,0,18.15530259665633,-17.835,9,6,27.816666666666666
Ajaccio,36.0,2016-09-16 07:20:44+00:00,2016-09-16 08:19:07+00:00,24,24,0,19.80844902217081,-28.162499999999998,9,7,58.38333333333333
Ajaccio,37.0,2016-09-16 09:31:26+00:00,2016-09-16 10:03:44+00:00,12,12,0,19.41423403898718,-20.403333333333332,9,9,32.3
Ajaccio,38.0,2016-09-18 12:37:34+00:00,2016-09-18 19:17:41+00:00,229,229,0,19.999984043314846,-23.116069868995634,9,12,400.1166666666667
Ajaccio,39.0,2016-09-27 13:28:37+00:00,2016-09-27 13:28:37+00:00,1,1,0,13.48425839195732,-45.22,9,13,0.0
Ajaccio,40.0,2016-10-06 01:59:40+00:00,2016-10-06 02:51:38+00:00,13,13,0,19.3167036334848,-27.46615384615384,10,1,51.96666666666667
Ajaccio,41.0,2016-10-06 20:22:03+00:00,2016-10-06 20:22:03+00:00,1,1,0,14.721173603016444,-8.98,10,20,0.0
